0 tensor(313250.1875, grad_fn=<MeanBackward0>)
1 tensor(312047.8438, grad_fn=<MeanBackward0>)
2 tensor(312047.8438, grad_fn=<MeanBackward0>)
3 tensor(266229.1562, grad_fn=<MeanBackward0>)
4 tensor(266229.1562, grad_fn=<MeanBackward0>)
5 tensor(220566.6094, grad_fn=<MeanBackward0>)
6 tensor(203972.2656, grad_fn=<MeanBackward0>)
7 tensor(203972.2656, grad_fn=<MeanBackward0>)
8 tensor(203972.2656, grad_fn=<MeanBackward0>)
9 tensor(203972.2656, grad_fn=<MeanBackward0>)
10 tensor(203972.2656, grad_fn=<MeanBackward0>)
11 tensor(203972.2656, grad_fn=<MeanBackward0>)
12 tensor(203972.2656, grad_fn=<MeanBackward0>)
13 tensor(203972.2656, grad_fn=<MeanBackward0>)
14 tensor(203972.2656, grad_fn=<MeanBackward0>)
15 tensor(196915.5938, grad_fn=<MeanBackward0>)
16 tensor(196915.5938, grad_fn=<MeanBackward0>)
17 tensor(196915.5938, grad_fn=<MeanBackward0>)
18 tensor(196915.5938, grad_fn=<MeanBackward0>)
19 tensor(196915.5938, grad_fn=<MeanBackward0>)
20 tensor(196915.5938, grad_fn=<MeanBackward0>)
21 tensor(196915.5938, grad_fn=<MeanBackward0>)
22 tensor(196915.5938, grad_fn=<MeanBackward0>)
23 tensor(194856.9844, grad_fn=<MeanBackward0>)
24 tensor(194856.9844, grad_fn=<MeanBackward0>)
25 tensor(156645.3750, grad_fn=<MeanBackward0>)
26 tensor(156645.3750, grad_fn=<MeanBackward0>)
27 tensor(156645.3750, grad_fn=<MeanBackward0>)
28 tensor(149042.8281, grad_fn=<MeanBackward0>)
29 tensor(149042.8281, grad_fn=<MeanBackward0>)
30 tensor(141839.3750, grad_fn=<MeanBackward0>)
31 tensor(141839.3750, grad_fn=<MeanBackward0>)
32 tensor(141839.3750, grad_fn=<MeanBackward0>)
33 tensor(141839.3750, grad_fn=<MeanBackward0>)
34 tensor(141839.3750, grad_fn=<MeanBackward0>)
35 tensor(140871.4219, grad_fn=<MeanBackward0>)
36 tensor(140871.4219, grad_fn=<MeanBackward0>)
37 tensor(140871.4219, grad_fn=<MeanBackward0>)
38 tensor(140871.4219, grad_fn=<MeanBackward0>)
39 tensor(140871.4219, grad_fn=<MeanBackward0>)
40 tensor(140871.4219, grad_fn=<MeanBackward0>)
41 tensor(140871.4219, grad_fn=<MeanBackward0>)
42 tensor(140871.4219, grad_fn=<MeanBackward0>)
43 tensor(140871.4219, grad_fn=<MeanBackward0>)
44 tensor(140871.4219, grad_fn=<MeanBackward0>)
45 tensor(140871.4219, grad_fn=<MeanBackward0>)
46 tensor(140871.4219, grad_fn=<MeanBackward0>)
47 tensor(140871.4219, grad_fn=<MeanBackward0>)
48 tensor(140871.4219, grad_fn=<MeanBackward0>)
49 tensor(140871.4219, grad_fn=<MeanBackward0>)
50 tensor(140871.4219, grad_fn=<MeanBackward0>)
51 tensor(140871.4219, grad_fn=<MeanBackward0>)
52 tensor(140871.4219, grad_fn=<MeanBackward0>)
53 tensor(140871.4219, grad_fn=<MeanBackward0>)
54 tensor(140871.4219, grad_fn=<MeanBackward0>)
55 tensor(140871.4219, grad_fn=<MeanBackward0>)
56 tensor(140871.4219, grad_fn=<MeanBackward0>)
57 tensor(115613.6719, grad_fn=<MeanBackward0>)
58 tensor(115613.6719, grad_fn=<MeanBackward0>)
59 tensor(115613.6719, grad_fn=<MeanBackward0>)
60 tensor(115613.6719, grad_fn=<MeanBackward0>)
61 tensor(115613.6719, grad_fn=<MeanBackward0>)
62 tensor(115613.6719, grad_fn=<MeanBackward0>)
63 tensor(115613.6719, grad_fn=<MeanBackward0>)
64 tensor(115613.6719, grad_fn=<MeanBackward0>)
65 tensor(115613.6719, grad_fn=<MeanBackward0>)
66 tensor(115613.6719, grad_fn=<MeanBackward0>)
67 tensor(115613.6719, grad_fn=<MeanBackward0>)
68 tensor(115613.6719, grad_fn=<MeanBackward0>)
69 tensor(115613.6719, grad_fn=<MeanBackward0>)
70 tensor(115613.6719, grad_fn=<MeanBackward0>)
71 tensor(115613.6719, grad_fn=<MeanBackward0>)
72 tensor(115613.6719, grad_fn=<MeanBackward0>)
73 tensor(115613.6719, grad_fn=<MeanBackward0>)
74 tensor(115613.6719, grad_fn=<MeanBackward0>)
75 tensor(115613.6719, grad_fn=<MeanBackward0>)
76 tensor(115613.6719, grad_fn=<MeanBackward0>)
77 tensor(115613.6719, grad_fn=<MeanBackward0>)
78 tensor(114757.2266, grad_fn=<MeanBackward0>)
79 tensor(114757.2266, grad_fn=<MeanBackward0>)
80 tensor(114757.2266, grad_fn=<MeanBackward0>)
81 tensor(98520.8828, grad_fn=<MeanBackward0>)
82 tensor(98520.8828, grad_fn=<MeanBackward0>)
83 tensor(98520.8828, grad_fn=<MeanBackward0>)
84 tensor(98520.8828, grad_fn=<MeanBackward0>)
85 tensor(98520.8828, grad_fn=<MeanBackward0>)
